"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 08:30:52 UTC 2025","Mon Sep 29 08:30:52 UTC 2025","292","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Pass invalid field not in model schema","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:13 UTC 2025","Mon Sep 29 08:31:14 UTC 2025","298","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass comma-separated invalid relations","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:36 UTC 2025","Mon Sep 29 08:30:36 UTC 2025","305","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Validate API fails when passing relation syntax without parent entity","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:52 UTC 2025","Mon Sep 29 08:30:53 UTC 2025","290","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Pass numeric as field","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:10 UTC 2025","Mon Sep 29 08:31:10 UTC 2025","515","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass SQL injection-like pattern in fields","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:17 UTC 2025","Mon Sep 29 08:30:18 UTC 2025","584","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate car(model) field is returned and id is excluded","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:29:45 UTC 2025","Mon Sep 29 08:29:45 UTC 2025","907","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate only year field is returned","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:45 UTC 2025","Mon Sep 29 08:30:45 UTC 2025","314","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Pass comma-separated invalid relations","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:07 UTC 2025","Mon Sep 29 08:31:07 UTC 2025","298","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Validate API fails when passing relation syntax without parent entity","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:13 UTC 2025","Mon Sep 29 08:31:13 UTC 2025","299","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass field value inside relations","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:33 UTC 2025","Mon Sep 29 08:30:34 UTC 2025","860","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Validate API fails when mixing valid and invalid field names","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:22 UTC 2025","Mon Sep 29 08:30:22 UTC 2025","304","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspectionRequest","GetInspectionRequest","Validates GET /v1/inventory/inspection_request with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:41 UTC 2025","Mon Sep 29 08:30:42 UTC 2025","736","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Exclude all valid fields using - but invalid key","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:04 UTC 2025","Mon Sep 29 08:30:04 UTC 2025","304","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetModelList","GetModelList - Validate make(id,name,imageUrl) is returned","Validates GET /v1/inventory/model with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:54 UTC 2025","Mon Sep 29 08:30:54 UTC 2025","293","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Pass nested field with typo","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:56 UTC 2025","Mon Sep 29 08:30:56 UTC 2025","299","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Pass numeric relation","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:12 UTC 2025","Mon Sep 29 08:31:12 UTC 2025","298","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass non-existing relation","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:29:48 UTC 2025","Mon Sep 29 08:29:49 UTC 2025","922","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate deep nested fields id,model(make(id,name)) are returned","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:31:08 UTC 2025","Mon Sep 29 08:31:09 UTC 2025","526","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass special chars in fields","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"failed","Mon Sep 29 08:30:53 UTC 2025","Mon Sep 29 08:30:53 UTC 2025","296","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Pass only whitespace in fields","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:25 UTC 2025","Mon Sep 29 08:30:26 UTC 2025","313","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetBodyType","GetBodyType","Validates GET /v1/inventory/body_type with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:31:06 UTC 2025","Mon Sep 29 08:31:07 UTC 2025","298","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Validate API fails when passing completely unknown relation","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:02 UTC 2025","Mon Sep 29 08:30:02 UTC 2025","311","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetModelList","GetModelList - Validate only id field is returned","Validates GET /v1/inventory/model with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:29:43 UTC 2025","Mon Sep 29 08:29:44 UTC 2025","1294","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate only id field is returned","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:29:54 UTC 2025","Mon Sep 29 08:29:55 UTC 2025","888","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate response contains only top-level fields (id,year) without relations","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:31:06 UTC 2025","Mon Sep 29 08:31:06 UTC 2025","297","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Validate API fails when mixing valid and invalid relation paths","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:29:49 UTC 2025","Mon Sep 29 08:29:50 UTC 2025","815","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate exclusion of name field while including id","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:58 UTC 2025","Mon Sep 29 08:30:58 UTC 2025","291","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Pass special chars in relation","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:10 UTC 2025","Mon Sep 29 08:31:11 UTC 2025","522","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Exclude all valid fields using - but invalid key","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:29:52 UTC 2025","Mon Sep 29 08:29:53 UTC 2025","998","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate relations parameter includes model object","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"failed","Mon Sep 29 08:30:39 UTC 2025","Mon Sep 29 08:30:40 UTC 2025","1035","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Pass whitespace in fields","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"failed","Mon Sep 29 08:31:09 UTC 2025","Mon Sep 29 08:31:09 UTC 2025","621","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass whitespace in fields","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:15 UTC 2025","Mon Sep 29 08:30:15 UTC 2025","521","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate all fields except id are returned","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:31:19 UTC 2025","Mon Sep 29 08:31:20 UTC 2025","294","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionRequestNegative","GetInspectionRequestNegative","Validates GET /v1/inventory/inspection_request with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:16 UTC 2025","Mon Sep 29 08:30:17 UTC 2025","542","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate id field is returned and car is excluded","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:43 UTC 2025","Mon Sep 29 08:30:44 UTC 2025","303","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Pass non-existing relation","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:04 UTC 2025","Mon Sep 29 08:31:05 UTC 2025","469","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Validate API fails when mixing valid and invalid field names","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:14 UTC 2025","Mon Sep 29 08:31:14 UTC 2025","297","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Pass special characters in relations","Validates GET /v1/inspection with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:04 UTC 2025","Mon Sep 29 08:30:04 UTC 2025","304","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetModelList","GetModelList - Validate only make.name is returned inside make","Validates GET /v1/inventory/model with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:06 UTC 2025","Mon Sep 29 08:30:06 UTC 2025","304","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetModelList","GetModelList - Validate response contains only top-level fields id,name without relations","Validates GET /v1/inventory/model with dynamic parameters - Positive Test"
